Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022-01-03 00:47:00,49,ACC_00190,32,ACC2_00051,990.12,Yuan,1874.18,Euro,Reinvestment,0
2022-01-01 14:53:00,17,ACC_00108,49,ACC2_00082,772.62,Euro,1604.26,Euro,Credit Card,0
2022-01-03 17:57:00,47,ACC_00047,26,ACC2_00015,1557.83,US Dollar,497.84,Yuan,Wire,0
2022-01-02 16:07:00,15,ACC_00079,14,ACC2_00094,114.88,Euro,1209.57,Yuan,Cheque,0
2022-01-03 13:54:00,28,ACC_00156,37,ACC2_00098,1018.97,US Dollar,1702.91,US Dollar,Credit Card,0
2022-01-02 12:19:00,49,ACC_00049,28,ACC2_00084,493.73,Yuan,1940.0,US Dollar,Reinvestment,0
2022-01-02 05:51:00,47,ACC_00122,18,ACC2_00180,1820.98,Euro,2972.03,US Dollar,Reinvestment,0
2022-01-03 11:32:00,10,ACC_00040,10,ACC2_00187,185.17,Yuan,441.19,US Dollar,ACH,0
2022-01-01 04:35:00,39,ACC_00005,49,ACC2_00193,3700.71,Euro,568.0,Euro,ACH,0
2022-01-03 05:30:00,36,ACC_00124,22,ACC2_00079,68.55,Euro,2714.28,Euro,Credit Card,0
2022-01-01 21:32:00,32,ACC_00129,38,ACC2_00148,469.73,US Dollar,2693.44,US Dollar,Wire,0
2022-01-01 07:45:00,45,ACC_00124,24,ACC2_00114,2065.49,Yuan,751.62,Yuan,Wire,0
2022-01-01 07:19:00,10,ACC_00128,41,ACC2_00147,190.42,US Dollar,656.11,Yuan,Cheque,0
2022-01-02 23:00:00,44,ACC_00101,39,ACC2_00030,1869.43,Yuan,132.62,US Dollar,Wire,0
2022-01-02 03:57:00,29,ACC_00146,23,ACC2_00162,2650.0,US Dollar,189.5,Yuan,Wire,0
2022-01-01 23:17:00,47,ACC_00142,20,ACC2_00086,2392.63,Euro,641.52,Yuan,ACH,0
2022-01-03 16:05:00,45,ACC_00125,33,ACC2_00041,1107.64,US Dollar,560.63,Euro,Credit Card,0
2022-01-02 07:13:00,37,ACC_00056,42,ACC2_00136,409.01,Yuan,166.05,US Dollar,Reinvestment,0
2022-01-01 12:28:00,18,ACC_00104,21,ACC2_00071,1183.14,Yuan,58.52,Euro,Wire,0
2022-01-02 12:21:00,46,ACC_00111,41,ACC2_00158,628.6,US Dollar,1724.13,US Dollar,Credit Card,0
2022-01-01 22:48:00,12,ACC_00039,17,ACC2_00079,748.58,Yuan,459.28,Yuan,Credit Card,0
2022-01-02 07:00:00,20,ACC_00018,36,ACC2_00041,1337.65,Yuan,2440.49,Euro,Wire,0
2022-01-03 16:15:00,31,ACC_00037,41,ACC2_00109,1120.06,US Dollar,2476.42,Yuan,ACH,0
2022-01-02 15:14:00,38,ACC_00197,46,ACC2_00146,1398.41,US Dollar,45.91,Euro,Reinvestment,0
2022-01-01 12:26:00,35,ACC_00194,38,ACC2_00134,469.61,Yuan,572.58,Yuan,Credit Card,0
2022-01-01 07:16:00,46,ACC_00029,33,ACC2_00056,302.85,US Dollar,349.12,Euro,Cheque,0
2022-01-01 01:16:00,24,ACC_00026,33,ACC2_00165,439.22,US Dollar,1155.33,Euro,Credit Card,0
2022-01-03 15:28:00,21,ACC_00176,41,ACC2_00138,341.06,US Dollar,1034.63,Euro,Cheque,0
2022-01-01 22:42:00,44,ACC_00076,39,ACC2_00071,1763.79,US Dollar,432.88,Yuan,Cheque,0
